index,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1274,Marble Pilsner,German Pilsener,12.0 oz,0.05%,N/A,443,Marble Brewery,Albuquerque,NM
1275,Marble India Pale Ale,American IPA,12.0 oz.,0.062,N/A,443,Marble Brewery,Albuquerque,NM
1276,Toughcats IPA,American IPA,16.0 oz,0.07%,N/A,317,Marshall Wharf Brewing Company,Belfast,ME
1277,Tug Pale Ale,American Pale Ale (APA),16.0 ounce,0.05,N/A,317,Marshall Wharf Brewing Company,Belfast,ME
1278,Sexy Chaos,Russian Imperial Stout,16.0 oz,0.099,N/A,317,Marshall Wharf Brewing Company,Belfast,ME
1279,Ace Hole American Pale Ale,American Pale Ale (APA),16.0 oz.,0.063,N/A,317,Marshall Wharf Brewing Company,Belfast,ME
1280,Cant Dog Imperial Pale Ale,American Double / Imperial IPA,16.0 oz.,0.10%,N/A,317,Marshall Wharf Brewing Company,Belfast,ME
1281,River House,Saison / Farmhouse Ale,16.0 oz,0.05,20,161,Martin House Brewing Company,Fort Worth,TX
1282,Pretzel Stout,American Stout,16.0 OZ.,0.065,47,161,Martin House Brewing Company,Fort Worth,TX
1283,Rubberneck Red,American Amber / Red Ale,16.0 oz.,0.05,35,161,Martin House Brewing Company,Fort Worth,TX
1284,The Imperial Texan,American Double / Imperial IPA,16.0 OZ.,0.08%,N/A,161,Martin House Brewing Company,Fort Worth,TX
1285,The Imperial Texan,American Double / Imperial IPA,12.0 oz,0.08,N/A,161,Martin House Brewing Company,Fort Worth TX,
1286,Day Break 4-Grain Breakfast Beer,Rye Beer,16.0 oz.,0.05,N/A,161,Martin House Brewing Company,Fort Worth,TX
1287,River House Saison,Saison / Farmhouse Ale,12.0 ounce,0.05,N/A,161,Martin House Brewing Company,Fort Worth,TX
1288,There Will Be Stout,American Stout,12.0 oz.,0.07%,N/A,161,Martin House Brewing Company,Fort Worth TX,
1289,Our Legacy IPA,American IPA,12.0 oz.,0.07%,60,299,Matt Brewing Company,Utica NY,
1290,Saranac Shandy,Shandy,12.0 ounce,0.042,N/A,299,Matt Brewing Company,Utica,NY
1291,Our Legacy IPA,American IPA,16.0 ounce,0.065,60,299,Matt Brewing Company,Utica,NY
1292,Saranac Golden Pilsener (2003),German Pilsener,12.0 OZ.,0.051,N/A,299,Matt Brewing Company,Utica,NY
1293,Saranac Adirondack Light (2002),Light Lager,12.0 oz,0.045,N/A,299,Matt Brewing Company,Utica,NY
1294,DAX Light (1998),Light Lager,12.0 oz.,0.05%,N/A,299,Matt Brewing Company,Utica,NY
1295,Saranac Traditional Lager (2000),American Pale Lager,12.0 ounce,0.048,N/A,299,Matt Brewing Company,Utica NY,
1296,Pomegranate Wheat (2008),Fruit / Vegetable Beer,12.0 oz,0.05%,N/A,299,Matt Brewing Company,Utica,NY
1297,Blueberry Blonde Ale,American Blonde Ale,12.0 oz,0.05,12,299,Matt Brewing Company,Utica,NY
1298,Saranac White IPA,American IPA,12.0 oz. Alumi-Tek,0.06%,N/A,299,Matt Brewing Company,Utica,NY
1299,Saranac Summer Ale (2011),American Pale Wheat Ale,12.0 oz,0.047,N/A,299,Matt Brewing Company,Utica,NY
1300,Saranac Pale Ale (12 oz.),English Pale Ale,12.0 oz.,0.055,N/A,299,Matt Brewing Company,Utica,NY
1301,Saranac Pale Ale (16 oz.),English Pale Ale,16.0 oz,0.055,N/A,299,Matt Brewing Company,Utica,NY
1302,Lahaina Town Brown,American Brown Ale,12.0 oz,0.051,20,375,Maui Brewing Company,Lahaina,HI
1303,Pau Hana Pilsner,Czech Pilsener,12.0 oz. Alumi-Tek,0.06%,N/A,375,Maui Brewing Company,Lahaina,HI
1304,Lemongrass Saison,Saison / Farmhouse Ale,12.0 oz. Alumi-Tek,0.05%,N/A,375,Maui Brewing Company,Lahaina,HI
1305,Aloha B’ak’tun,Belgian Strong Dark Ale,12.0 oz.,0.07,N/A,375,Maui Brewing Company,Lahaina,HI
1306,Liquid Breadfruit,Fruit / Vegetable Beer,12.0 oz,0.082,N/A,375,Maui Brewing Company,Lahaina,HI
1307,Sobrehumano Palena'ole,American Amber / Red Ale,12.0 oz.,0.06%,24,375,Maui Brewing Company,Lahaina,HI
1308,La Perouse White,Witbier,12.0 oz,0.05%,12,375,Maui Brewing Company,Lahaina,HI
1309,Flyin' HI.P.Hay,American IPA,12.0 OZ.,0.068,68,375,Maui Brewing Company,Lahaina,HI
1310,Mana Wheat,American Pale Wheat Ale,12.0 ounce,0.055,15,375,Maui Brewing Company,Lahaina,HI
1311,Bikini Blonde Lager,Munich Helles Lager,12.0 oz,0.045,18,375,Maui Brewing Company,Lahaina,HI
1312,CoCoNut Porter,American Porter,12.0 oz.,0.057,30,375,Maui Brewing Company,Lahaina,HI
1313,Big Swell IPA,American IPA,12.0 oz,0.062,65,375,Maui Brewing Company,Lahaina,HI
1314,Pit Stop Chocolate Porter,American Porter,12.0 ounce,0.037,34,448,Mavericks Beer Company,Half Moon Bay,CA
1315,Pace Setter Belgian Style Wit,Witbier,12.0 oz.,0.037,21,448,Mavericks Beer Company,Half Moon Bay,CA
1316,Back in the Saddle Rye Pale Ale,American Pale Ale (APA),12.0 oz.,0.037,53,448,Mavericks Beer Company,Half Moon Bay,CA
1317,Bushwhacker Cider,Cider,16.0 OZ.,0.07%,N/A,254,Meckley's Cidery,Somerset Center,MI
1318,Weim-R-Iner,Cider,16.0 oz.,0.069,N/A,254,Meckley's Cidery,Somerset Center,MI
1319,Cherry Bomb,Cider,16.0 ounce,0.069,N/A,254,Meckley's Cidery,Somerset Center,MI
1320,Tsunami IPA,American IPA,19.2 oz,0.072,75,203,Mehana Brewing Co.,Hilo,HI
1321,Tsunami IPA,American IPA,12.0 OZ.,0.072,75,203,Mehana Brewing Co.,Hilo,HI
1322,Humpback Blonde Ale,American Blonde Ale,12.0 oz.,0.04%,22,203,Mehana Brewing Co.,Hilo,HI
1323,Hawaiian Crow Porter,American Porter,12.0 oz.,0.052,27,203,Mehana Brewing Co.,Hilo,HI
1324,Volcano Red Ale,American Amber / Red Ale,12.0 oz,0.052,23,203,Mehana Brewing Co.,Hilo,HI
1325,Mauna Kea Pale Ale,American Pale Ale (APA),12.0 ounce,0.054,42,203,Mehana Brewing Co.,Hilo,HI
1326,Shark Bait,Fruit / Vegetable Beer,12.0 oz,0.05%,11,393,Miami Brewing Company,Miami,FL
1327,Gator Tail Brown Ale,American Brown Ale,12.0 ounce,0.053,30,393,Miami Brewing Company,Miami,FL
1328,Miami Vice IPA,American IPA,12.0 oz.,0.071,62,393,Miami Brewing Company,Miami,FL
1329,Big Rod Coconut Ale,American Blonde Ale,12.0 oz,0.053,16,393,Miami Brewing Company,Miami,FL
1330,Mickey Finn's Amber Ale,American Amber / Red Ale,12.0 oz.,0.056,N/A,552,Mickey Finn's Brewery,Libertyville,IL
1331,Pleasure Town,American IPA,12.0 oz.,0.063,61,223,Midnight Sun Brewing Company,Anchorage,AK
1332,Pleasure Town IPA,American IPA,12.0 oz.,0.063,61,223,Midnight Sun Brewing Company,Anchorage,AK
1333,Snowshoe White Ale,Witbier,12.0 oz.,0.048,12,223,Midnight Sun Brewing Company,Anchorage,AK
1334,Kodiak Brown Ale,American Brown Ale,12.0 ounce,0.05%,24,223,Midnight Sun Brewing Company,Anchorage,AK
1335,Sockeye Red IPA,American IPA,12.0 oz.,0.06%,70,223,Midnight Sun Brewing Company,Anchorage,AK
1336,Habitus (2014),American Double / Imperial IPA,16.0 oz.,0.08%,100,3,Mike Hess Brewing Company,San Diego,CA
1337,Solis,American IPA,16.0 oz.,0.075,85,3,Mike Hess Brewing Company,San Diego,CA
1338,Jucundus,Wheat Ale,16.0 ounce,0.06,24,3,Mike Hess Brewing Company,San Diego,CA
1339,Habitus,American Double / Imperial IPA,16.0 oz.,0.08,100,3,Mike Hess Brewing Company,San Diego,CA
1340,Grazias,Cream Ale,16.0 oz,0.063,30,3,Mike Hess Brewing Company,San Diego,CA
1341,Claritas,Kölsch,16.0 OZ.,0.058,28,3,Mike Hess Brewing Company,San Diego,CA
1342,Vinyl Frontier,American Double / Imperial IPA,24.0 ounce,0.083,N/A,65,Mikerphone Brewing,Chicago,IL
1343,Disco Superfly,American IPA,24.0 oz,0.08,N/A,65,Mikerphone Brewing,Chicago IL,
1344,Misty Mountain Hop,American IPA,24.0 ounce,0.08%,N/A,65,Mikerphone Brewing,Chicago,IL
1345,One-Hit Wonderful,Belgian IPA,24.0 oz,0.08%,N/A,65,Mikerphone Brewing,Chicago,IL
1346,En Parfaite Harmonie,Saison / Farmhouse Ale,24.0 oz.,0.065,N/A,65,Mikerphone Brewing,Chicago,IL
1347,Daft Funk,Berliner Weissbier,24.0 oz. Alumi-Tek,0.043,8,65,Mikerphone Brewing,Chicago,IL
1348,Love In An Ellavator,American IPA,24.0 oz,0.075,N/A,65,Mikerphone Brewing,Chicago,IL
1349,Spin Doctor,American Pale Ale (APA),24.0 ounce,0.053,N/A,65,Mikerphone Brewing,Chicago,IL
1350,Keeper (Current),American Pilsner,12.0 ounce,0.05,N/A,363,Mikkeller,Pottstown,PA
1351,Better Half,American IPA,12.0 oz. Alumi-Tek,0.068,N/A,363,Mikkeller,Pottstown,PA
1352,SNO White Ale,Witbier,16.0 oz.,0.048,N/A,440,MillKing It Productions,Royal Oak,MI
1353,BRIK Irish Red Ale,Irish Red Ale,16.0 oz.,0.048,N/A,440,MillKing It Productions,Royal Oak,MI
1354,AXL Pale Ale,American Pale Ale (APA),16.0 OZ.,,N/A,440,MillKing It Productions,Royal Oak,MI
1355,Hop Freak,American Double / Imperial IPA,16.0 ounce,0.087,80,284,Milwaukee Brewing Company,Milwaukee,WI
1356,Louie's Demise Amber Ale,American Amber / Red Ale,16.0 oz.,0.051,24,284,Milwaukee Brewing Company,Milwaukee,WI
1357,Hop Happy,American IPA,16.0 oz.,0.08%,51,284,Milwaukee Brewing Company,Milwaukee,WI
1358,Booyah Farmhouse Ale,Saison / Farmhouse Ale,16.0 oz,0.07%,20,284,Milwaukee Brewing Company,Milwaukee,WI
1359,O-Gii,Witbier,16.0 ounce,0.092,N/A,284,Milwaukee Brewing Company,Milwaukee,WI
1360,Flaming Damsel Lager (2010),Vienna Lager,16.0 oz.,0.05%,18,284,Milwaukee Brewing Company,Milwaukee,WI
1361,Louie’s Demise Immort-Ale (2010),American Amber / Red Ale,16.0 oz,0.051,24,284,Milwaukee Brewing Company,Milwaukee,WI
1362,Axe Head Malt Liquor,American Malt Liquor,24.0 oz.,0.099,N/A,134,Minhas Craft Brewery,Monroe,WI
1363,Huber Bock (2014),Bock,16.0 ounce,0.05%,N/A,134,Minhas Craft Brewery,Monroe,WI
1364,Minhas Light (2012),Light Lager,12.0 oz.,0.04,N/A,134,Minhas Craft Brewery,Monroe,WI
1365,Huber,American Pale Lager,12.0 ounce,0.05%,N/A,134,Minhas Craft Brewery,Monroe,WI
1366,Clear Creek Ice,American Pale Lager,16.0 oz.,0.062,N/A,134,Minhas Craft Brewery,Monroe,WI
1367,Clear Creek Ice,American Pale Lager,12.0 oz.,0.062,N/A,134,Minhas Craft Brewery,Monroe,WI
1368,Mountain Crest,American Pale Lager,16.0 oz.,0.055,N/A,134,Minhas Craft Brewery,Monroe WI,
1369,Mountain Crest,American Pale Lager,12.0 oz. Alumi-Tek,0.06%,N/A,134,Minhas Craft Brewery,Monroe,WI
1370,Mountain Creek (2013),American Pale Lager,12.0 oz.,0.055,N/A,134,Minhas Craft Brewery,Monroe,WI
1371,Boxer,American Adjunct Lager,24.0 oz.,0.05,N/A,134,Minhas Craft Brewery,Monroe,WI
1372,Boxer Light,Light Lager,12.0 oz.,0.042,N/A,134,Minhas Craft Brewery,Monroe,WI
1373,Boxer Ice,American Adjunct Lager,12.0 OZ.,0.055,N/A,134,Minhas Craft Brewery,Monroe,WI
1374,Boxer,American Adjunct Lager,12.0 OZ.,0.05,N/A,134,Minhas Craft Brewery,Monroe,WI
1375,Cortez Gold,Belgian Pale Ale,32.0 oz. Alumi-Tek,0.05,N/A,98,Mission Brewery,San Diego CA,
1376,Mission IPA,American IPA,32.0 OZ.,0.068,66,98,Mission Brewery,San Diego,CA
1377,El Conquistador Extra Pale Ale,American Pale Ale (APA),32.0 oz.,0.048,44,98,Mission Brewery,San Diego CA,
1378,Shipwrecked Double IPA,American Double / Imperial IPA,32.0 oz.,0.092,75,98,Mission Brewery,San Diego,CA
1379,Squeaky Bike Nut Brown Ale,American Brown Ale,16.0 OZ.,0.04,N/A,399,Moab Brewery,Moab,UT
1380,Dead Horse Amber,American Pale Wheat Ale,16.0 oz.,0.04,N/A,399,Moab Brewery,Moab,UT
1381,Rocket Bike American Lager,California Common / Steam Beer,16.0 ounce,0.04,N/A,399,Moab Brewery,Moab,UT
1382,Johnny's American IPA,American IPA,16.0 oz.,0.04,N/A,399,Moab Brewery,Moab,UT
1383,Boneshaker Brown Ale,English Brown Ale,24.0 ounce,0.06%,N/A,547,Moat Mountain Smoke House & Brew...,North Conway,NH
1384,Iron Mike Pale Ale,American Pale Ale (APA),24.0 oz. Alumi-Tek,0.056,N/A,547,Moat Mountain Smoke House & Brew...,North Conway,NH
1385,Monkadelic,American Pale Ale (APA),12.0 oz.,0.042,N/A,189,Modern Monks Brewery,Lincoln,NE
1386,City of the Sun,American IPA,16.0 oz.,0.075,85,209,Modern Times Beer,San Diego,CA
1387,Booming Rollers,American IPA,16.0 oz.,0.068,75,209,Modern Times Beer,San Diego,CA
1388,Oneida,American Pale Ale (APA),16.0 ounce,0.052,50,209,Modern Times Beer,San Diego,CA
1389,Aurora,American Amber / Red Ale,16.0 ounce,0.067,75,209,Modern Times Beer,San Diego,CA
1390,Lomaland,Saison / Farmhouse Ale,16.0 oz.,0.06%,30,209,Modern Times Beer,San Diego,CA
1391,Fortunate Islands,American Pale Wheat Ale,16.0 ounce,0.047,46,209,Modern Times Beer,San Diego,CA
1392,Black House,American Stout,16.0 oz.,0.058,40,209,Modern Times Beer,San Diego,CA
1393,Blazing World,American Amber / Red Ale,16.0 ounce,0.065,115,209,Modern Times Beer,San Diego,CA
1394,Wapiti Amber Ale,American Amber / Red Ale,12.0 oz,0.05,N/A,549,Mogollon Brewing Company,Flagstaff,AZ
1395,Sweet Georgia Brown,American Brown Ale,16.0 OZ.,0.05%,N/A,514,Monkey Paw Pub & Brewery,San Diego,CA
1396,Rich Man's IIPA,American Double / Imperial IPA,16.0 ounce,0.087,N/A,514,Monkey Paw Pub & Brewery,San Diego,CA
1397,Monkey Paw Oatmeal Pale Ale,American Pale Ale (APA),16.0 oz,0.058,N/A,514,Monkey Paw Pub & Brewery,San Diego,CA
1398,Montauk Summer Ale,American Blonde Ale,12.0 oz.,0.06%,28,276,Montauk Brewing Company,Montauk,NY
1399,Driftwood Ale,Extra Special / Strong Bitter (ESB),12.0 ounce,0.06,49,276,Montauk Brewing Company,Montauk,NY
1400,When Helles Freezes Over,Munich Helles Lager,12.0 ounce,0.056,18,326,Morgan Street Brewery,Saint Louis,MO
1401,Morgan Street Oktoberfest,Märzen / Oktoberfest,12.0 oz.,0.049,24,326,Morgan Street Brewery,Saint Louis,MO
1402,Honey Wheat,American Pale Wheat Ale,12.0 oz,0.047,14,326,Morgan Street Brewery,Saint Louis,MO
1403,Black Bear Dark Lager,Schwarzbier,12.0 oz.,0.05%,24,326,Morgan Street Brewery,Saint Louis,MO
1404,Golden Pilsner,German Pilsener,12.0 oz,0.05%,35,326,Morgan Street Brewery,Saint Louis,MO
1405,Cali Creamin',Cream Ale,12.0 oz,0.052,21,111,Mother Earth Brew Company,Vista,CA
1406,Second Wind Pale Ale,American Pale Ale (APA),12.0 oz,0.05,N/A,540,Mother Earth Brewing Company,Kinston,NC
1407,Sunny Haze,Hefeweizen,12.0 oz.,0.05%,N/A,540,Mother Earth Brewing Company,Kinston,NC
1408,Towhead,American Blonde Ale,12.0 oz,0.052,21,188,Mother's Brewing,Springfield,MO
1409,Lil' Helper,American IPA,12.0 ounce,0.07,70,188,Mother's Brewing,Springfield,MO
1410,Train Wreck,American Amber / Red Ale,16.0 oz.,0.082,N/A,260,Mountain Town Brewing Company,Mount Pleasant,MI
1411,Full Moon Belgian White Ale,Witbier,12.0 ounce,0.085,N/A,507,Mudshark Brewing Company,Lake Havasu City,AZ
1412,Desert Magic IPA,American IPA,12.0 oz.,0.072,N/A,507,Mudshark Brewing Company,Lake Havasu City,AZ
1413,Up River Light,Light Lager,12.0 ounce,0.042,N/A,507,Mudshark Brewing Company,Lake Havasu City,AZ
1414,Full Moon Belgian White Ale (2007),Witbier,12.0 oz.,0.085,N/A,507,Mudshark Brewing Company,Lake Havasu City,AZ
1415,Dry Heat Hefeweizen (2006),Hefeweizen,12.0 OZ.,0.055,N/A,507,Mudshark Brewing Company,Lake Havasu City,AZ
1416,Mustang Sixty-Six,American Amber / Red Lager,12.0 ounce,0.05,N/A,366,Mustang Brewing Company,Mustang,OK
1417,Mustang '33,American Pale Lager,12.0 ounce,0.04,N/A,366,Mustang Brewing Company,Mustang,OK
1418,Session '33 (2011),American Pale Lager,12.0 oz.,0.04,N/A,366,Mustang Brewing Company,Mustang,OK
1419,Mustang Golden Ale,American Blonde Ale,12.0 oz,0.053,10,366,Mustang Brewing Company,Mustang,OK
1420,Washita Wheat,American Pale Wheat Ale,12.0 OZ.,0.053,14,366,Mustang Brewing Company,Mustang,OK
1421,Gansett Light,Light Lager,16.0 oz,0.037,10,143,Narragansett Brewing Company,Providence,RI
1422,Bohemian Pils,American Pilsner,16.0 oz.,0.05%,30,143,Narragansett Brewing Company,Providence,RI
1423,Autocrat Coffee Milk Stout,Milk / Sweet Stout,16.0 oz.,0.053,30,143,Narragansett Brewing Company,Providence,RI
1424,Narragansett Bohemian Pilsner,German Pilsener,16.0 ounce,0.09%,35,143,Narragansett Brewing Company,Providence,RI
1425,Narragansett Summer Ale,American Pale Wheat Ale,12.0 oz.,0.042,24,143,Narragansett Brewing Company,Providence,RI
1426,Narragansett Cream Ale,Cream Ale,16.0 ounce,0.05,22,143,Narragansett Brewing Company,Providence,RI
1427,Narragansett Summer Ale,American Pale Wheat Ale,16.0 oz.,0.04%,24,143,Narragansett Brewing Company,Providence,RI
1428,Narragansett Porter,American Porter,16.0 oz,0.07,22,143,Narragansett Brewing Company,Providence,RI
1429,Narragansett Bock,Bock,16.0 oz.,0.065,32,143,Narragansett Brewing Company,Providence,RI
1430,Narragansett Fest Lager,Märzen / Oktoberfest,16.0 oz. Alumi-Tek,0.055,15,143,Narragansett Brewing Company,Providence,RI
1431,Undun Blonde Ale,American Blonde Ale,16.0 oz.,0.05%,N/A,387,Natian Brewery,Portland OR,
1432,CuDa Cascadian Dark Ale,American Black Ale,16.0 oz,0.07%,N/A,387,Natian Brewery,Portland,OR
1433,Old Grogham Imperial India Pale Ale,American Double / Imperial IPA,16.0 oz,0.085,86,387,Natian Brewery,Portland,OR
1434,Old Grogham Imperial India Pale Ale (2012),American Double / Imperial IPA,16.0 ounce,0.085,86,387,Natian Brewery,Portland,OR
1435,CuDa Cascadian Dark Ale (2012),American Black Ale,16.0 oz.,0.07%,N/A,387,Natian Brewery,Portland,OR
1436,Undun Blonde Ale (2012),American Blonde Ale,16.0 oz.,0.053,N/A,387,Natian Brewery,Portland,OR
1437,Wick For Brains,Pumpkin Ale,12.0 oz,0.061,11,337,Nebraska Brewing Company,Papillion,NE
1438,Nebraska India Pale Ale,American IPA,12.0 ounce,0.065,65,337,Nebraska Brewing Company,Papillion,NE
1439,EOS Hefeweizen,Hefeweizen,12.0 ounce,0.048,10,337,Nebraska Brewing Company,Papillion,NE
1440,Brunette Nut Brown Ale,English Brown Ale,12.0 oz,0.048,15,337,Nebraska Brewing Company,Papillion,NE
1441,Cardinal Pale Ale,American Pale Ale (APA),12.0 oz. Alumi-Tek,0.057,29,337,Nebraska Brewing Company,Papillion,NE
1442,County Line IPA,American IPA,12.0 ounce,0.07%,N/A,325,Neshaminy Creek Brewing Company,Croydon,PA
1443,Trauger Pilsner,German Pilsener,12.0 oz.,0.048,N/A,325,Neshaminy Creek Brewing Company,Croydon,PA
1444,Slow Ride,American IPA,12.0 oz.,0.045,40,82,New Belgium Brewing Company,Fort Collins,CO
1445,Ranger IPA,American IPA,12.0 ounce,0.065,70,82,New Belgium Brewing Company,Fort Collins,CO
1446,Shift,American Pale Lager,12.0 oz,0.05%,29,82,New Belgium Brewing Company,Fort Collins,CO
1447,1554 Black Lager,Euro Dark Lager,12.0 oz.,0.06%,21,82,New Belgium Brewing Company,Fort Collins,CO
1448,Blue Paddle,Czech Pilsener,12.0 oz.,0.048,N/A,82,New Belgium Brewing Company,Fort Collins,CO
1449,California Route,American Amber / Red Lager,12.0 oz.,0.06%,N/A,82,New Belgium Brewing Company,Fort Collins,CO
1450,Snapshot,American Pale Wheat Ale,16.0 ounce,0.052,N/A,82,New Belgium Brewing Company,Fort Collins,CO
1451,Sunshine Wheat Beer,American Pale Wheat Ale,12.0 oz.,0.05%,N/A,82,New Belgium Brewing Company,Fort Collins,CO
1452,Fat Tire Amber Ale,American Amber / Red Ale,12.0 oz.,0.05%,18,82,New Belgium Brewing Company,Fort Collins,CO
1453,Shift (1),American Pale Lager,12.0 oz.,0.05,29,82,New Belgium Brewing Company,Fort Collins,CO
1454,Fat Tire Amber Ale (2011),American Amber / Red Ale,12.0 oz.,0.052,18,82,New Belgium Brewing Company,Fort Collins,CO
1455,Shift,American Pale Lager,16.0 oz,0.05,29,82,New Belgium Brewing Company,Fort Collins,CO
1456,Ranger IPA,American IPA,16.0 oz.,0.07%,70,82,New Belgium Brewing Company,Fort Collins,CO
1457,Fat Tire Amber Ale,American Amber / Red Ale,16.0 oz.,0.052,18,82,New Belgium Brewing Company,Fort Collins,CO
1458,Ranger IPA (Current),American IPA,12.0 oz.,0.065,70,82,New Belgium Brewing Company,Fort Collins,CO
1459,Sunshine Wheat Beer (2009),American Pale Wheat Ale,12.0 ounce,0.048,N/A,82,New Belgium Brewing Company,Fort Collins,CO
1460,Fat Tire Amber Ale (2008),American Amber / Red Ale,12.0 ounce,0.05%,18,82,New Belgium Brewing Company,Fort Collins,CO
1461,Weiss Trash Culture,Berliner Weissbier,12.0 oz.,0.034,6,410,New England Brewing Company,Woodbridge,CT
1462,Sea Hag IPA,American IPA,12.0 oz.,0.06%,N/A,410,New England Brewing Company,Woodbridge,CT
1463,Elm City Pilsner,American Pilsner,12.0 ounce,0.05,N/A,410,New England Brewing Company,Woodbridge,CT
1464,Atlantic Amber Ale (2004),American Amber / Red Ale,12.0 OZ.,0.05,N/A,410,New England Brewing Company,Woodbridge,CT
1465,668 Neighbor of the Beast12 oz.,Belgian Pale Ale,12.0 oz.,0.09,N/A,410,New England Brewing Company,Woodbridge,CT
1466,Gandhi-Bot Double IPA (12 oz.),American Double / Imperial IPA,12.0 ounce,0.088,85,410,New England Brewing Company,Woodbridge,CT
1467,668 Neighbor of the Beast (16 oz.) (2010),Belgian Pale Ale,16.0 oz.,0.09%,N/A,410,New England Brewing Company,Woodbridge,CT
1468,Gandhi-Bot Double IPA (16 oz.) (2010),American Double / Imperial IPA,16.0 oz.,0.088,85,410,New England Brewing Company,Woodbridge,CT
1469,Elm City Lager (2007),American Pilsner,12.0 oz,0.05,N/A,410,New England Brewing Company,Woodbridge,CT
1470,Atlantic Amber Ale (2007),American Amber / Red Ale,12.0 ounce,0.05%,N/A,410,New England Brewing Company,Woodbridge,CT
1471,Sea Hag IPA (Current),American IPA,12.0 OZ.,0.062,N/A,410,New England Brewing Company,Woodbridge,CT
1472,Rebirth Pale Ale,American Pale Ale (APA),12.0 oz.,0.05%,N/A,174,New Orleans Lager & Ale Brewing ...,New Orleans,LA
1473,Irish Channel Stout,American Stout,16.0 oz.,0.068,N/A,174,New Orleans Lager & Ale Brewing ...,New Orleans,LA
1474,MechaHopzilla,American Double / Imperial IPA,16.0 oz.,0.088,N/A,174,New Orleans Lager & Ale Brewing ...,New Orleans,LA
1475,Hopitoulas IPA,American IPA,16.0 oz.,0.07%,N/A,174,New Orleans Lager & Ale Brewing ...,New Orleans,LA
1476,NOLA Brown Ale,English Dark Mild Ale,12.0 OZ.,0.039,N/A,174,New Orleans Lager & Ale Brewing ...,New Orleans,LA
1477,NOLA Blonde Ale,American Blonde Ale,12.0 oz,0.05%,N/A,174,New Orleans Lager & Ale Brewing ...,New Orleans,LA
1478,Skylight,Dunkelweizen,12.0 oz. Alumi-Tek,0.056,20,241,New Republic Brewing Company,College Station,TX
1479,Kadigan,American Blonde Ale,12.0 oz.,0.056,30,241,New Republic Brewing Company,College Station,TX
1480,Dammit Jim!,American Amber / Red Ale,12.0 oz. Alumi-Tek,0.05%,50,241,New Republic Brewing Company,College Station,TX
1481,Nut Brown Ale,English Brown Ale,12.0 oz,0.05%,N/A,518,New South Brewing Company,Myrtle Beach SC,
1482,White Ale,Witbier,12.0 ounce,0.046,N/A,518,New South Brewing Company,Myrtle Beach,SC
1483,Cream Ale,Cream Ale,12.0 oz,0.04%,35,238,Newburgh Brewing Company,Newburgh,NY
1484,Green Head IPA,American IPA,12.0 oz,0.072,N/A,495,Newburyport Brewing Company,Newburyport,MA
1485,Plum Island Belgian White,Witbier,12.0 oz.,0.054,N/A,495,Newburyport Brewing Company,Newburyport,MA
1486,Newburyport Pale Ale,American Pale Ale (APA),12.0 oz.,0.055,N/A,495,Newburyport Brewing Company,Newburyport,MA
1487,Marblehead,American Amber / Red Ale,16.0 oz,0.06%,N/A,305,Night Shift Brewing,Everett,MA
1488,Jam Session,American Pale Ale (APA),16.0 oz.,0.05%,31,359,NoDa Brewing Company,Charlotte,NC
1489,Hop Drop 'N Roll IPA,American IPA,16.0 oz.,0.072,80,359,NoDa Brewing Company,Charlotte,NC
1490,Paleo IPA,English India Pale Ale (IPA),12.0 ounce,0.06,N/A,431,North Country Brewing Company,Slippery Rock,PA
1491,Buck Snort Stout,American Stout,12.0 oz.,0.061,N/A,431,North Country Brewing Company,Slippery Rock,PA
1492,Station 33 Firehouse Red,Irish Red Ale,12.0 oz,0.055,N/A,431,North Country Brewing Company,Slippery Rock,PA
1493,Slimy Pebble Pils,German Pilsener,12.0 oz,0.045,N/A,431,North Country Brewing Company,Slippery Rock,PA
1494,Get Together,American IPA,16.0 ounce,0.05%,50,0,NorthGate Brewing,Minneapolis,MN
1495,Maggie's Leap,Milk / Sweet Stout,16.0 oz,0.05%,26,0,NorthGate Brewing,Minneapolis,MN
1496,Wall's End,English Brown Ale,16.0 oz.,0.05%,19,0,NorthGate Brewing,Minneapolis,MN
1497,Pumpion,Pumpkin Ale,16.0 oz.,0.06,38,0,NorthGate Brewing,Minneapolis,MN
1498,Stronghold,American Porter,16.0 oz,0.06,25,0,NorthGate Brewing,Minneapolis,MN
1499,Parapet ESB,Extra Special / Strong Bitter (ESB),16.0 oz.,0.056,47,0,NorthGate Brewing,Minneapolis,MN
1500,Blue Boots IPA,American IPA,16.0 oz.,0.07%,N/A,293,Northampton Brewery,Northamtpon,MA
1501,Hoppy Bitch IPA,American IPA,16.0 oz.,0.063,N/A,450,Northwest Brewing Company,Pacific,WA
1502,Three Skulls Ale Pale Ale,American Pale Ale (APA),16.0 oz.,0.06%,42,450,Northwest Brewing Company,Pacific,WA
1503,Walter's Premium Pilsener Beer,German Pilsener,12.0 ounce,0.045,N/A,529,Northwoods Brewpub,Eau Claire,WI
1504,Floppin' Crappie,American Pale Wheat Ale,12.0 oz.,0.045,N/A,529,Northwoods Brewpub,Eau Claire,WI
1505,Left of the Dial IPA,American IPA,12.0 ounce,0.043,N/A,271,Notch Brewing Company,Ipswich,MA
1506,Notch Session Pils,Czech Pilsener,12.0 oz.,0.04,N/A,271,Notch Brewing Company,Ipswich,MA
